Name ,State,District,tehsil,village,shape_length,shape_area,longtitude,latitude,electricity,treated_water,electronics,phone,transport
Gurusar Sainewala (92),3,46,245,35791,0.146486506885,0.00092432012895,74.89590055119595,30.134709994961725,95.0,78.39999999999998,29.93333333333333,72.6,38.3
Jodhpur Romana (64),3,46,245,35792,0.133211471976,0.000943103166481,74.92399221949177,30.14956148420885,94.1,24.6,34.06666666666667,76.49999999999999,52.3
Jassi Pauwali (61),3,46,245,35793,0.150600846328,0.00098739496986,74.95847284095731,30.158359579243093,94.7,42.8,32.56666666666667,81.3,54.40000000000001
Phus Mandi (60),3,46,245,35794,0.105116278084,0.00042348600718100003,74.98847067436354,30.16954571484064,96.0,19.8,33.46666666666666,83.1,42.7
Gulabgarh Urf Naiwala (58),3,46,245,35795,0.125506689859,0.0005483199735219999,75.0036408817707,30.15454067004498,99.1,48.7,36.86666666666667,91.1,49.2
Tungwali (208),3,46,245,35796,0.250584736183,0.002963198768,75.04399734003647,30.164666073537997,93.6,46.3,34.13333333333333,76.00000000000001,45.5
Chak Fateh Singhwala (205),3,46,245,35797,0.251492743046,0.00142171756808,75.08155652275002,30.181278434160053,86.3,17.9,28.599999999999994,70.0,42.5
Chak Bakhtu (203),3,46,245,35798,0.16874426820900001,0.00103882010686,75.13369920353892,30.19914710680308,96.9,63.0,31.899999999999995,70.9,53.2
Chak Ram Singhwala (204),3,46,245,35799,0.117386072845,0.0007187699174239999,75.11425329907314,30.17482796442647,97.2,77.5,32.766666666666666,82.5,44.2
Dhan Singh Khana (23),3,46,245,35800,0.18880791701900002,0.0010786929352599999,75.08895857381395,30.128911473208014,93.3,32.2,31.26666666666667,78.49999999999999,44.6
Kot Shamir (57),3,46,245,35801,0.37397552186899996,0.004325455758760001,75.00292369388706,30.10683400086833,99.3,46.7,31.13333333333333,74.8,43.0
Katar Singhwala (62),3,46,245,35802,0.118329669539,0.0005346619443850001,74.9859835082251,30.14426982124445,98.3,54.6,34.63333333333333,75.9,35.4
Gehri Devi nagar (63),3,46,245,35803,0.19116745359600001,0.0018084812884300002,74.95076032046444,30.12320134729947,96.0,49.1,31.266666666666666,81.7,46.0
Mehta (94),3,46,245,35804,0.14104839707800002,0.00114316027879,74.91784901430668,30.10339036438478,98.7,0.6,36.43333333333333,81.9,52.1
Gehri Buttar (93),3,46,245,35805,0.152440884143,0.00113913051118,74.88521412461739,30.10483852468218,93.8,51.2,31.66666666666667,86.60000000000002,46.4
Anoopgarh Urf Machhana (98),3,46,245,35806,0.13764725905,0.00043725266238699997,74.86400566949072,30.06002355158887,100.0,47.8,35.833333333333336,88.39999999999998,48.8
Sangat Kalan (99),3,46,245,35807,0.193072859725,0.0017206903521600001,74.84018453006506,30.077547138788304,92.8,45.3,30.33333333333333,79.30000000000003,38.7
Phulo Mithi (90),3,46,245,35808,0.173632905017,0.0015780635526500002,74.84105938032816,30.10583917432342,93.6,62.8,30.23333333333333,82.30000000000003,41.1
Kot Guru (100),3,46,245,35809,0.127130953837,0.0008934346355689999,74.79719011016363,30.08945882857836,89.8,55.8,30.46666666666667,79.19999999999997,36.8
Ghudda (89),3,46,245,35810,0.189874637668,0.0018035209176500001,74.79170636125576,30.12182076608389,98.4,65.7,31.5,80.2,50.3
Nandgarh (88),3,46,245,35811,0.12528408615,0.000630158550413,74.75605325000015,30.103488546140056,95.8,86.1,30.866666666666664,69.5,50.7
Bajak (87),3,46,245,35812,0.142244501282,0.00106380364982,74.75444405906245,30.12639522120821,96.4,59.6,34.13333333333333,86.8,53.2
Janghi Rana (86),3,46,245,35813,0.169009149869,0.0017591305637700001,74.72710515699755,30.15270934532333,92.1,73.0,29.86666666666667,78.4,48.1
Raike Khurd Urf Chak Dana (84),3,46,245,35814,0.0769752997405,0.00027093084042700003,74.6931184780001,30.138969327401185,100.0,10.9,31.33333333333333,74.4,45.2
Bahadargarh Jandian (82),3,46,245,35815,0.133901569103,0.000488635044956,74.68409462325008,30.148469021601674,92.8,57.5,36.99999999999999,78.30000000000003,43.4
Lool Bai (81),3,46,245,35816,0.10463983546599999,0.000457403634452,74.6681409226469,30.158806670380443,83.89999999999998,12.4,22.8,76.2,32.8
Raike Kalan (83),3,46,245,35817,0.18459349158100002,0.00171115019097,74.6591641375212,30.128492551775647,95.8,78.5,29.266666666666666,75.0,42.6
Bambiha (85),3,46,245,35818,0.156651296011,0.0012691035167999999,74.71224143608941,30.12149763461787,90.3,59.5,33.63333333333333,75.8,51.1
Chak Attar Singhwala (103),3,46,245,35819,0.153852701478,0.000784083283851,74.73212797075018,30.09441746835193,92.0,65.7,35.03333333333333,72.1,45.40000000000001
Kal Jharani (104),3,46,245,35820,0.17617894501200002,0.0014658281795,74.69789995239205,30.08990688546191,96.9,82.3,28.16666666666666,74.2,44.3
Kotli Sabo (105),3,46,245,35821,0.0960901224584,0.0004975119492049999,74.71170600985509,30.056601211729856,100.0,90.7,32.6,82.19999999999997,42.6
Faridkot (106),3,46,245,35822,0.128242874683,0.000959632047797,74.71467972401388,30.033994375117523,93.3,93.1,27.46666666666667,73.4,42.4
Bandi (107),3,46,245,35825,0.178211835531,0.00208923483057,74.75092153189918,30.049544608075728,95.5,76.99999999999999,33.00000000000001,76.2,47.3
Dhunike (102),3,46,245,35826,0.115656798996,0.0006069818132890001,74.7481496991594,30.0826673182724,92.8,1.6,21.133333333333336,57.0,25.5
Muhalan (101),3,46,245,35827,0.09066082866839999,0.00040670299589,74.77137993173899,30.076874991412577,92.9,76.0,26.2,80.9,57.9
Jassi Bagwali (111),3,46,245,35828,0.21435879748599998,0.00167985473635,74.80446314041342,30.053238867269894,94.9,46.7,30.3,72.99999999999999,39.6
Kishanpura Urf Kutti (110),3,46,245,35829,0.160428588584,0.0007121050870560001,74.78689263616224,30.03422740965829,96.6,94.6,33.0,83.8,56.0
Chak Ruldu Singhwala  (113),3,46,245,35830,0.224183083783,0.00104169713756,74.79026268127443,30.004786122466157,92.6,68.1,22.200000000000006,46.1,30.0
